"","state","Dem","Rep"
"1","Alabama",29.4,55.6
"2","Alaska",42.55,50
"3","Arizona",46.1992156862745,46.6235294117647
"4","Arkansas",40,55
"5","California",60.2333333333333,34.8916666666667
"6","Colorado",53.65,41.25
"7","Connecticut",49.1,33.2
"8","Delaware",46,36.1
"9","Florida",44.5375,49.452
"10","Georgia",46.5109615384615,47.6238461538462
"11","Hawaii",49.5,36
"12","Idaho",24.6,53.8
"13","Illinois",57.8,42.2
"14","Indiana",41.35,54.95
"15","Iowa",43,47
"16","Kansas",38.8,43.8
"17","Kentucky",29.4,51.5
"18","Louisiana",35.5,50
"19","Maine",53.1333333333333,41.0666666666667
"20","Maryland",61.7057142857143,32.7814285714286
"21","Massachusetts",62,31
"22","Michigan",47.3531343283582,45.4081690140845
"23","Minnesota",48.7733333333333,42.92
"24","Mississippi",35.3,50
"25","Missouri",42.14,54.58
"26","Montana",39.86,55.14
"27","Nebraska",43.6,46.8
"28","Nevada",46.6632352941176,45.5317647058824
"29","New Hampshire",51.0090909090909,44.0909090909091
"30","New Jersey",40,41
"31","New Mexico",48.6571428571429,41.0857142857143
"32","New York",53.46,39.94
"33","North Carolina",46.8578431372549,46.9839215686275
"34","North Dakota",28,62
"35","Ohio",42.7285714285714,52.3685714285714
"36","Oklahoma",39.9,56
"37","Oregon",47,42
"38","Pennsylvania",47.5315294117647,46.4184269662921
"39","Rhode Island",58,38
"40","South Carolina",35.3,47
"41","South Dakota",31.4,50
"42","Tennessee",36.9,63.1
"43","Texas",44.6363636363636,50.23
"44","Utah",26.5,55.5
"45","Vermont",68.5,28
"46","Virginia",48.683125,42.87375
"47","Washington",52.5,35
"48","West Virginia",34,61
"49","Wisconsin",48.4746478873239,45.5902739726027
"50","Wyoming",20.2,52.6
